name,price,date,time,change,open,high,low,volume
"ALMOND",39.48,"6/11/2007","9:36am",-0.18,39.67,39.69,39.45,181800
"BREAD",71.38,"6/11/2007","9:36am",-0.15,71.29,71.6,71.15,195500
"APPLES",62.58,"6/11/2007","9:36am",-0.46,62.79,63.0,62.57,935000
"BANANA",98.31,"6/11/2007","9:36am",0.12,98.25,98.58,98.19,104800
"BUNS",53.08,"6/11/2007","9:36am",-0.25,53.2,53.25,53.03,360900
"BUTTER",78.29,"6/11/2007","9:36am",-0.23,78.32,78.33,78.06,225400
"CHEESE",50.75,"6/11/2007","9:36am",-0.38,51.13,51.14,50.69,96900
"CHERRIES",34.2,"6/11/2007","9:35am",0.0,34.28,34.3,34.12,191000
"CHIPS",37.23,"6/11/2007","9:36am",-0.09,37.07,37.27,37.05,694300
"COCONUT",31.44,"6/11/2007","9:36am",0.44,31.0,31.62,30.9,715429
"COFFEE",37.67,"6/11/2007","9:35am",-0.28,37.78,37.83,37.62,218369
"CELL",57.12,"6/11/2007","9:35am",-0.26,57.25,57.33,57.11,131100
"COOKIES",45.81,"6/11/2007","9:36am",0.11,45.8,45.85,45.46,303200
"DEODRANT",102.86,"6/11/2007","9:35am",-0.21,102.87,102.99,102.5,151700
"EGGS",21.84,"6/11/2007","9:40am",0.01,21.7,21.85,21.69,2927268
"FRESHNER",62.25,"6/11/2007","9:35am",0.12,62.89,62.89,62.15,343500
"GRAPES",50.35,"6/11/2007","9:36am",-0.06,50.41,50.49,50.27,351100
"MILK",51.65,"6/11/2007","9:35am",-0.02,51.67,51.73,51.54,3981400
"MINT",51.11,"6/11/2007","9:35am",-0.3,51.47,51.47,51.0,169100
"OIL",85.6,"6/11/2007","9:35am",-0.34,85.94,85.98,85.5,190800
"MAT",70.09,"6/11/2007","9:36am",-0.21,70.25,70.3,70.04,471200
"ONIONS",50.21,"6/11/2007","9:36am",0.07,50.3,50.46,50.04,1453300
"PASTE",30.08,"6/11/2007","9:41am",0.03,30.05,30.09,29.93,6166010
"PEPPER",26.4,"6/11/2007","9:36am",-0.12,26.5,26.5,26.34,835600
"SOAP",62.79,"6/11/2007","9:35am",-0.28,62.8,62.87,62.75,256000
"TEA",40.03,"6/11/2007","9:35am",-0.23,40.2,40.25,39.89,691400
